arquivo,loc,lloc,sloc,comments,multi
yfinance/base.py,811,484,476,71,131
yfinance/cache.py,639,443,453,44,7
yfinance/calendars.py,547,199,356,11,106
yfinance/config.py,61,44,44,4,0
yfinance/const.py,1154,54,1133,84,0
yfinance/data.py,620,420,432,39,53
yfinance/exceptions.py,53,35,36,1,0
yfinance/live.py,350,246,231,8,48
yfinance/lookup.py,220,109,100,21,48
yfinance/multi.py,301,146,188,26,52
yfinance/pricing_pb2.py,33,16,18,6,0
yfinance/search.py,159,85,90,21,17
yfinance/shared.py,29,7,7,20,0
yfinance/ticker.py,328,212,232,21,3
yfinance/tickers.py,100,34,58,23,0
yfinance/utils.py,1172,790,803,153,43
yfinance/version.py,1,1,1,0,0
yfinance/_http.py,101,59,65,0,15
yfinance/__init__.py,61,32,33,22,0
yfinance/domain/domain.py,199,94,80,0,83
yfinance/domain/industry.py,156,76,73,0,53
yfinance/domain/market.py,143,93,107,7,5
yfinance/domain/sector.py,155,72,59,0,65
yfinance/domain/__init__.py,5,3,3,1,0
yfinance/scrapers/analysis.py,204,176,171,4,0
yfinance/scrapers/fundamentals.py,163,121,119,13,0
yfinance/scrapers/funds.py,336,149,181,12,92
yfinance/scrapers/history.py,3336,2661,2517,468,46
yfinance/scrapers/holders.py,241,168,211,4,0
yfinance/scrapers/quote.py,821,630,620,82,0
yfinance/scrapers/__init__.py,0,0,0,0,0
yfinance/screener/query.py,259,147,136,9,67
yfinance/screener/screener.py,216,83,134,10,42
yfinance/screener/__init__.py,4,3,3,0,0
TOTAL,12978,7892,9170,1185,976
